Req ID,Priority,Requirement,Why This Matters,Acceptance Criterion,Currently Available
REQ-001,Must Have,Before approving a new BNPL plan the platform must show the consumer their total outstanding commitment across all active plans on that platform,A consumer with three active plans does not see their combined monthly obligation anywhere. This is the single most important gap in current BNPL design.,Total outstanding balance shown in CAD before checkout confirmation. Updated in real time.,No major Canadian BNPL platform does this
REQ-002,Must Have,Platforms must conduct a soft credit check before approving any BNPL plan above $200,BNPL currently bypasses the credit assessment that would apply to any other form of credit. High-Exposure users accumulate debt that no lender has assessed.,Soft check completed and result factored into approval decision. No hard inquiry created.,Klarna does partial checks. Others do not.
REQ-003,Must Have,The total cost of the purchase including any potential late fees must be shown before the consumer confirms a BNPL plan,Most platforms show only the installment amount. The full purchase price and potential fee exposure are not visible at the point of commitment.,"Total purchase price, installment schedule, and maximum potential late fees all displayed before confirmation.",Partial on Afterpay. Not on others.
REQ-004,Must Have,A maximum of four simultaneous active BNPL plans per consumer across the platform,High-Exposure users carry an average of 4.2 simultaneous plans. There is no limit in place on any major Canadian platform.,System enforces hard limit. Consumer notified when approaching limit with current total commitment displayed.,No platform has this limit
REQ-005,Must Have,Missed payment alerts must be sent 48 hours before a payment is due not after it has been missed,Current platforms send alerts after a payment is missed and a late fee is already applied. A proactive reminder reduces missed payments and removes the surprise of a late fee.,Push and email notification sent 48 hours before each payment. Opt-out not permitted for first notification.,Klarna sends reminders. Sezzle and PayBright do not consistently.
REQ-006,Should Have,Platforms must report consumer BNPL payment history to Canadian credit bureaus,BNPL debt is currently invisible to the credit system. A consumer building a responsible repayment history gets no credit score benefit. A consumer missing payments faces no credit score consequence.,Positive and negative payment history reported monthly to Equifax and TransUnion.,None of the platforms assessed
REQ-007,Should Have,"An annual BNPL spending summary must be sent to consumers showing total borrowed, total paid, total fees paid, and number of missed payments",High-Exposure users have low awareness of their total annual BNPL commitment. An annual summary makes the full picture visible in a way that individual transaction notifications do not.,Annual summary sent by January 31 for the prior year. Available in app at any time.,No platform provides this
REQ-008,Should Have,Consumers must be able to set a personal monthly BNPL spending limit that the platform enforces,Giving consumers control over their own limit supports responsible use without requiring a regulatory mandate.,Limit settable in app. Platform declines new plans that would exceed the consumer-set monthly limit.,No platform has this feature
REQ-009,Could Have,BNPL spending data must be exportable by consumers in a standard format for use in personal budgeting apps,A consumer who can see their BNPL spending alongside their other financial data has a more accurate picture of their actual financial position.,CSV or JSON export available from account settings. Updated monthly.,No platform provides this
REQ-010,Could Have,Platforms operating in Canada must register with the Financial Consumer Agency of Canada and submit annual consumer risk reports,BNPL operates outside the regulatory framework that governs other credit products. Registration creates basic accountability without requiring full credit regulation.,"Registration completed. Annual report submitted by March 31 covering default rates, average consumer debt, and complaint volumes.",No platform is currently registered
